condition,frame_number,time_relative,channel_freq,frame_kind,type,subtype,type_subtype,transmitter,receiver,source,destination,bssid,ssid,rsn_version,rsn_akm,pairwise_cipher,group_cipher,group_management_cipher,rsn_capabilities,auth_algorithm,auth_sequence,status_code,sae_message_type,sae_group_id,sae_scalar_present,sae_element_present,eapol_message,nonce_present,nonce_role,replay_counter,key_ack,key_mic,key_install,key_secure,encrypted_key_data_present,protected_flag,wireshark_protocol,wireshark_info,interpretation
WPA3-SAE-H2E,14,1.331960064,5220,Beacon,0,8,0x0008,4a:91:20:2b:8a:fe,ff:ff:ff:ff:ff:ff,4a:91:20:2b:8a:fe,ff:ff:ff:ff:ff:ff,4a:91:20:2b:8a:fe,iPhone_Lab,1,PSK;SAE,CCMP,CCMP,BIP-CMAC-128,0x00bc,,,,,,no,yes,,no,,,,,,,no,False,,,"AP advertises RSN security capabilities, AKM and cipher suites."
WPA3-SAE-H2E,15,1.436142159,5220,Beacon,0,8,0x0008,4a:91:20:2b:8a:fe,ff:ff:ff:ff:ff:ff,4a:91:20:2b:8a:fe,ff:ff:ff:ff:ff:ff,4a:91:20:2b:8a:fe,iPhone_Lab,1,PSK;SAE,CCMP,CCMP,BIP-CMAC-128,0x00bc,,,,,,no,yes,,no,,,,,,,no,False,,,"AP advertises RSN security capabilities, AKM and cipher suites."
WPA3-SAE-H2E,16,1.547655938,5220,Beacon,0,8,0x0008,4a:91:20:2b:8a:fe,ff:ff:ff:ff:ff:ff,4a:91:20:2b:8a:fe,ff:ff:ff:ff:ff:ff,4a:91:20:2b:8a:fe,iPhone_Lab,1,PSK;SAE,CCMP,CCMP,BIP-CMAC-128,0x00bc,,,,,,no,yes,,no,,,,,,,no,False,,,"AP advertises RSN security capabilities, AKM and cipher suites."
WPA3-SAE-H2E,17,1.638808511,5220,Beacon,0,8,0x0008,4a:91:20:2b:8a:fe,ff:ff:ff:ff:ff:ff,4a:91:20:2b:8a:fe,ff:ff:ff:ff:ff:ff,4a:91:20:2b:8a:fe,iPhone_Lab,1,PSK;SAE,CCMP,CCMP,BIP-CMAC-128,0x00bc,,,,,,no,yes,,no,,,,,,,no,False,,,"AP advertises RSN security capabilities, AKM and cipher suites."
WPA3-SAE-H2E,18,1.742105763,5220,Beacon,0,8,0x0008,4a:91:20:2b:8a:fe,ff:ff:ff:ff:ff:ff,4a:91:20:2b:8a:fe,ff:ff:ff:ff:ff:ff,4a:91:20:2b:8a:fe,iPhone_Lab,1,PSK;SAE,CCMP,CCMP,BIP-CMAC-128,0x00bc,,,,,,no,yes,,no,,,,,,,no,False,,,"AP advertises RSN security capabilities, AKM and cipher suites."
WPA3-SAE-H2E,19,1.844093844,5220,Beacon,0,8,0x0008,4a:91:20:2b:8a:fe,ff:ff:ff:ff:ff:ff,4a:91:20:2b:8a:fe,ff:ff:ff:ff:ff:ff,4a:91:20:2b:8a:fe,iPhone_Lab,1,PSK;SAE,CCMP,CCMP,BIP-CMAC-128,0x00bc,,,,,,no,yes,,no,,,,,,,no,False,,,"AP advertises RSN security capabilities, AKM and cipher suites."
WPA3-SAE-H2E,20,1.945918563,5220,Beacon,0,8,0x0008,4a:91:20:2b:8a:fe,ff:ff:ff:ff:ff:ff,4a:91:20:2b:8a:fe,ff:ff:ff:ff:ff:ff,4a:91:20:2b:8a:fe,iPhone_Lab,1,PSK;SAE,CCMP,CCMP,BIP-CMAC-128,0x00bc,,,,,,no,yes,,no,,,,,,,no,False,,,"AP advertises RSN security capabilities, AKM and cipher suites."
WPA3-SAE-H2E,21,2.048771977,5220,Beacon,0,8,0x0008,4a:91:20:2b:8a:fe,ff:ff:ff:ff:ff:ff,4a:91:20:2b:8a:fe,ff:ff:ff:ff:ff:ff,4a:91:20:2b:8a:fe,iPhone_Lab,1,PSK;SAE,CCMP,CCMP,BIP-CMAC-128,0x00bc,,,,,,no,yes,,no,,,,,,,no,False,,,"AP advertises RSN security capabilities, AKM and cipher suites."
WPA3-SAE-H2E,22,2.154270046,5220,Beacon,0,8,0x0008,4a:91:20:2b:8a:fe,ff:ff:ff:ff:ff:ff,4a:91:20:2b:8a:fe,ff:ff:ff:ff:ff:ff,4a:91:20:2b:8a:fe,iPhone_Lab,1,PSK;SAE,CCMP,CCMP,BIP-CMAC-128,0x00bc,,,,,,no,yes,,no,,,,,,,no,False,,,"AP advertises RSN security capabilities, AKM and cipher suites."
WPA3-SAE-H2E,23,2.258762142,5220,Beacon,0,8,0x0008,4a:91:20:2b:8a:fe,ff:ff:ff:ff:ff:ff,4a:91:20:2b:8a:fe,ff:ff:ff:ff:ff:ff,4a:91:20:2b:8a:fe,iPhone_Lab,1,PSK;SAE,CCMP,CCMP,BIP-CMAC-128,0x00bc,,,,,,no,yes,,no,,,,,,,no,False,,,"AP advertises RSN security capabilities, AKM and cipher suites."
WPA3-SAE-H2E,24,2.355476638,5220,Beacon,0,8,0x0008,4a:91:20:2b:8a:fe,ff:ff:ff:ff:ff:ff,4a:91:20:2b:8a:fe,ff:ff:ff:ff:ff:ff,4a:91:20:2b:8a:fe,iPhone_Lab,1,PSK;SAE,CCMP,CCMP,BIP-CMAC-128,0x00bc,,,,,,no,yes,,no,,,,,,,no,False,,,"AP advertises RSN security capabilities, AKM and cipher suites."
WPA3-SAE-H2E,25,2.458900702,5220,Beacon,0,8,0x0008,4a:91:20:2b:8a:fe,ff:ff:ff:ff:ff:ff,4a:91:20:2b:8a:fe,ff:ff:ff:ff:ff:ff,4a:91:20:2b:8a:fe,iPhone_Lab,1,PSK;SAE,CCMP,CCMP,BIP-CMAC-128,0x00bc,,,,,,no,yes,,no,,,,,,,no,False,,,"AP advertises RSN security capabilities, AKM and cipher suites."
WPA3-SAE-H2E,26,2.560315592,5220,Beacon,0,8,0x0008,4a:91:20:2b:8a:fe,ff:ff:ff:ff:ff:ff,4a:91:20:2b:8a:fe,ff:ff:ff:ff:ff:ff,4a:91:20:2b:8a:fe,iPhone_Lab,1,PSK;SAE,CCMP,CCMP,BIP-CMAC-128,0x00bc,,,,,,no,yes,,no,,,,,,,no,False,,,"AP advertises RSN security capabilities, AKM and cipher suites."
WPA3-SAE-H2E,27,2.663527193,5220,Beacon,0,8,0x0008,4a:91:20:2b:8a:fe,ff:ff:ff:ff:ff:ff,4a:91:20:2b:8a:fe,ff:ff:ff:ff:ff:ff,4a:91:20:2b:8a:fe,iPhone_Lab,1,PSK;SAE,CCMP,CCMP,BIP-CMAC-128,0x00bc,,,,,,no,yes,,no,,,,,,,no,False,,,"AP advertises RSN security capabilities, AKM and cipher suites."
WPA3-SAE-H2E,28,2.765886195,5220,Beacon,0,8,0x0008,4a:91:20:2b:8a:fe,ff:ff:ff:ff:ff:ff,4a:91:20:2b:8a:fe,ff:ff:ff:ff:ff:ff,4a:91:20:2b:8a:fe,iPhone_Lab,1,PSK;SAE,CCMP,CCMP,BIP-CMAC-128,0x00bc,,,,,,no,yes,,no,,,,,,,no,False,,,"AP advertises RSN security capabilities, AKM and cipher suites."
WPA3-SAE-H2E,29,2.877449253,5220,Beacon,0,8,0x0008,4a:91:20:2b:8a:fe,ff:ff:ff:ff:ff:ff,4a:91:20:2b:8a:fe,ff:ff:ff:ff:ff:ff,4a:91:20:2b:8a:fe,iPhone_Lab,1,PSK;SAE,CCMP,CCMP,BIP-CMAC-128,0x00bc,,,,,,no,yes,,no,,,,,,,no,False,,,"AP advertises RSN security capabilities, AKM and cipher suites."
WPA3-SAE-H2E,30,2.981233120,5220,Beacon,0,8,0x0008,4a:91:20:2b:8a:fe,ff:ff:ff:ff:ff:ff,4a:91:20:2b:8a:fe,ff:ff:ff:ff:ff:ff,4a:91:20:2b:8a:fe,iPhone_Lab,1,PSK;SAE,CCMP,CCMP,BIP-CMAC-128,0x00bc,,,,,,no,yes,,no,,,,,,,no,False,,,"AP advertises RSN security capabilities, AKM and cipher suites."
WPA3-SAE-H2E,31,3.072502999,5220,Beacon,0,8,0x0008,4a:91:20:2b:8a:fe,ff:ff:ff:ff:ff:ff,4a:91:20:2b:8a:fe,ff:ff:ff:ff:ff:ff,4a:91:20:2b:8a:fe,iPhone_Lab,1,PSK;SAE,CCMP,CCMP,BIP-CMAC-128,0x00bc,,,,,,no,yes,,no,,,,,,,no,False,,,"AP advertises RSN security capabilities, AKM and cipher suites."
WPA3-SAE-H2E,32,3.178004213,5220,Beacon,0,8,0x0008,4a:91:20:2b:8a:fe,ff:ff:ff:ff:ff:ff,4a:91:20:2b:8a:fe,ff:ff:ff:ff:ff:ff,4a:91:20:2b:8a:fe,iPhone_Lab,1,PSK;SAE,CCMP,CCMP,BIP-CMAC-128,0x00bc,,,,,,no,yes,,no,,,,,,,no,False,,,"AP advertises RSN security capabilities, AKM and cipher suites."
WPA3-SAE-H2E,33,3.280088089,5220,Beacon,0,8,0x0008,4a:91:20:2b:8a:fe,ff:ff:ff:ff:ff:ff,4a:91:20:2b:8a:fe,ff:ff:ff:ff:ff:ff,4a:91:20:2b:8a:fe,iPhone_Lab,1,PSK;SAE,CCMP,CCMP,BIP-CMAC-128,0x00bc,,,,,,no,yes,,no,,,,,,,no,False,,,"AP advertises RSN security capabilities, AKM and cipher suites."
