condition,frame_number,time_relative,channel_freq,frame_kind,type,subtype,type_subtype,transmitter,receiver,source,destination,bssid,ssid,rsn_version,rsn_akm,pairwise_cipher,group_cipher,rsn_capabilities,auth_algorithm,auth_sequence,status_code,association_id,eapol_message,nonce_present,nonce_role,replay_counter,key_ack,key_mic,key_install,key_secure,encrypted_key_data,key_data_length,protected_flag,ccmp_packet_number,ccmp_key_id,wireshark_protocol,wireshark_info,interpretation
WPA2-Personal-PSK,2362,26.416607736,2437,Protected Frame,2,8,0x0028,e8:bf:b8:96:c3:55,b2:86:9a:49:e9:da,e8:bf:b8:96:c3:55,4a:e1:ca:a1:31:64,b2:86:9a:49:e9:da,,,,,,,,,,,,no,,,,,,,,,True,0x000000000075,,,,Protected CCMP frame after key establishment.
WPA2-Personal-PSK,2366,26.416610251,2437,Protected Frame,2,8,0x0028,e8:bf:b8:96:c3:55,b2:86:9a:49:e9:da,e8:bf:b8:96:c3:55,4a:e1:ca:a1:31:64,b2:86:9a:49:e9:da,,,,,,,,,,,,no,,,,,,,,,True,0x000000000076,,,,Protected CCMP frame after key establishment.
WPA2-Personal-PSK,2370,26.416612108,2437,Protected Frame,2,8,0x0028,e8:bf:b8:96:c3:55,b2:86:9a:49:e9:da,e8:bf:b8:96:c3:55,01:00:5e:00:00:16,b2:86:9a:49:e9:da,,,,,,,,,,,,no,,,,,,,,,True,0x000000000077,,,,Protected CCMP frame after key establishment.
WPA2-Personal-PSK,2372,26.416612750,2437,Protected Frame,2,0,0x0020,b2:86:9a:49:e9:da,01:00:5e:00:00:16,e8:bf:b8:96:c3:55,01:00:5e:00:00:16,b2:86:9a:49:e9:da,,,,,,,,,,,,no,,,,,,,,,True,0x000000000039,,,,Protected CCMP frame after key establishment.
WPA2-Personal-PSK,2375,26.422406012,2437,Protected Frame,2,8,0x0028,e8:bf:b8:96:c3:55,b2:86:9a:49:e9:da,e8:bf:b8:96:c3:55,4a:e1:ca:a1:31:64,b2:86:9a:49:e9:da,,,,,,,,,,,,no,,,,,,,,,True,0x000000000078,,,,Protected CCMP frame after key establishment.
WPA2-Personal-PSK,2376,26.422408526,2437,Protected Frame,2,8,0x0028,e8:bf:b8:96:c3:55,b2:86:9a:49:e9:da,e8:bf:b8:96:c3:55,4a:e1:ca:a1:31:64,b2:86:9a:49:e9:da,,,,,,,,,,,,no,,,,,,,,,True,0x000000000079,,,,Protected CCMP frame after key establishment.
WPA2-Personal-PSK,2377,26.422409411,2437,Protected Frame,2,8,0x0028,e8:bf:b8:96:c3:55,b2:86:9a:49:e9:da,e8:bf:b8:96:c3:55,4a:e1:ca:a1:31:64,b2:86:9a:49:e9:da,,,,,,,,,,,,no,,,,,,,,,True,0x00000000007A,,,,Protected CCMP frame after key establishment.
WPA2-Personal-PSK,2378,26.422410351,2437,Protected Frame,2,8,0x0028,e8:bf:b8:96:c3:55,b2:86:9a:49:e9:da,e8:bf:b8:96:c3:55,4a:e1:ca:a1:31:64,b2:86:9a:49:e9:da,,,,,,,,,,,,no,,,,,,,,,True,0x00000000007B,,,,Protected CCMP frame after key establishment.
WPA2-Personal-PSK,2382,26.431794269,2437,Protected Frame,2,8,0x0028,e8:bf:b8:96:c3:55,b2:86:9a:49:e9:da,e8:bf:b8:96:c3:55,01:00:5e:00:00:16,b2:86:9a:49:e9:da,,,,,,,,,,,,no,,,,,,,,,True,0x00000000007C,,,,Protected CCMP frame after key establishment.
WPA2-Personal-PSK,2386,26.431798331,2437,Protected Frame,2,8,0x0028,e8:bf:b8:96:c3:55,b2:86:9a:49:e9:da,e8:bf:b8:96:c3:55,01:00:5e:00:00:16,b2:86:9a:49:e9:da,,,,,,,,,,,,no,,,,,,,,,True,0x00000000007D,,,,Protected CCMP frame after key establishment.
