condition,frame_number,time_relative,channel_freq,frame_kind,type,subtype,type_subtype,transmitter,receiver,source,destination,bssid,ssid,rsn_version,rsn_akm,pairwise_cipher,group_cipher,rsn_capabilities,auth_algorithm,auth_sequence,status_code,association_id,eapol_message,nonce_present,nonce_role,replay_counter,key_ack,key_mic,key_install,key_secure,encrypted_key_data,key_data_length,protected_flag,ccmp_packet_number,ccmp_key_id,wireshark_protocol,wireshark_info,interpretation
WPA2-Personal-PSK,2541,26.486674029,2437,Protected Frame,2,8,0x0028,b2:86:9a:49:e9:da,e8:bf:b8:96:c3:55,4a:e1:ca:a1:31:64,e8:bf:b8:96:c3:55,b2:86:9a:49:e9:da,,,,,,,,,,,,no,,,,,,,,,True,0x000000000064,,,,Protected CCMP frame after key establishment.
WPA2-Personal-PSK,2545,26.493854971,2437,Protected Frame,2,8,0x0028,e8:bf:b8:96:c3:55,b2:86:9a:49:e9:da,e8:bf:b8:96:c3:55,4a:e1:ca:a1:31:64,b2:86:9a:49:e9:da,,,,,,,,,,,,no,,,,,,,,,True,0x000000000092,,,,Protected CCMP frame after key establishment.
WPA2-Personal-PSK,2549,26.493858675,2437,Protected Frame,2,8,0x0028,e8:bf:b8:96:c3:55,b2:86:9a:49:e9:da,e8:bf:b8:96:c3:55,4a:e1:ca:a1:31:64,b2:86:9a:49:e9:da,,,,,,,,,,,,no,,,,,,,,,True,0x000000000093,,,,Protected CCMP frame after key establishment.
WPA2-Personal-PSK,2554,26.554795659,2437,Protected Frame,2,8,0x0028,b2:86:9a:49:e9:da,e8:bf:b8:96:c3:55,,e8:bf:b8:96:c3:55,b2:86:9a:49:e9:da,,,,,,,,,,,,no,,,,,,,,,True,0x000000000065,,,,Protected CCMP frame after key establishment.
WPA2-Personal-PSK,2555,26.554798725,2437,Protected Frame,2,8,0x0028,b2:86:9a:49:e9:da,e8:bf:b8:96:c3:55,,e8:bf:b8:96:c3:55,b2:86:9a:49:e9:da,,,,,,,,,,,,no,,,,,,,,,True,0x000000000066,,,,Protected CCMP frame after key establishment.
WPA2-Personal-PSK,2556,26.554800491,2437,Protected Frame,2,8,0x0028,b2:86:9a:49:e9:da,e8:bf:b8:96:c3:55,4a:e1:ca:a1:31:64,e8:bf:b8:96:c3:55,b2:86:9a:49:e9:da,,,,,,,,,,,,no,,,,,,,,,True,0x000000000067,,,,Protected CCMP frame after key establishment.
WPA2-Personal-PSK,2561,26.556799802,2437,Protected Frame,2,8,0x0028,e8:bf:b8:96:c3:55,b2:86:9a:49:e9:da,e8:bf:b8:96:c3:55,4a:e1:ca:a1:31:64,b2:86:9a:49:e9:da,,,,,,,,,,,,no,,,,,,,,,True,0x000000000094,,,,Protected CCMP frame after key establishment.
WPA2-Personal-PSK,2565,26.558932744,2437,Protected Frame,2,8,0x0028,b2:86:9a:49:e9:da,e8:bf:b8:96:c3:55,,e8:bf:b8:96:c3:55,b2:86:9a:49:e9:da,,,,,,,,,,,,no,,,,,,,,,True,0x000000000068,,,,Protected CCMP frame after key establishment.
WPA2-Personal-PSK,2568,26.581217014,2437,Beacon,0,8,0x0008,b2:86:9a:49:e9:da,ff:ff:ff:ff:ff:ff,b2:86:9a:49:e9:da,ff:ff:ff:ff:ff:ff,b2:86:9a:49:e9:da,iPhone_Lab,1,PSK,CCMP,CCMP,0x003c,,,,,,no,,,,,,,,,False,,,,,"AP advertises WPA2 RSN capabilities, PSK AKM and CCMP ciphers."
WPA2-Personal-PSK,2571,26.604113735,2437,Protected Frame,2,8,0x0028,b2:86:9a:49:e9:da,e8:bf:b8:96:c3:55,4a:e1:ca:a1:31:64,e8:bf:b8:96:c3:55,b2:86:9a:49:e9:da,,,,,,,,,,,,no,,,,,,,,,True,0x000000000069,,,,Protected CCMP frame after key establishment.
